Using cuda device
Logging to ppo_pick_and_place_sb3/ppo_sb3_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7fb559ca9650> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7fb559b36750>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
|    ep_len_mean     | 251        |
|    ep_rew_mean     | 0.17895296 |
| time/              |            |
|    fps             | 1213       |
|    iterations      | 1          |
|    time_elapsed    | 54         |
|    total_timesteps | 65536      |
-----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.30551678  |
| time/                   |             |
|    fps                  | 1099        |
|    iterations           | 2           |
|    time_elapsed         | 119         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.008644985 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.9       |
|    explained_variance   | -0.00271    |
|    learning_rate        | 0.00025     |
|    loss                 | -0.243      |
|    n_updates            | 15          |
|    policy_gradient_loss | -0.00693    |
|    std                  | 1.01        |
|    value_loss           | 0.057       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 0.5830933    |
| time/                   |              |
|    fps                  | 1067         |
|    iterations           | 3            |
|    time_elapsed         | 184          |
|    total_timesteps      | 196608       |
| train/                  |              |
|    approx_kl            | 0.0076448782 |
|    clip_fraction        | 0.0908       |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.9        |
|    explained_variance   | 0.66         |
|    learning_rate        | 0.00025      |
|    loss                 | -0.245       |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00746     |
|    std                  | 1.02         |
|    value_loss           | 0.0368       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.82082444  |
| time/                   |             |
|    fps                  | 1049        |
|    iterations           | 4           |
|    time_elapsed         | 249         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.008330474 |
|    clip_fraction        | 0.0947      |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.767       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.257      |
|    n_updates            | 45          |
|    policy_gradient_loss | -0.00681    |
|    std                  | 1.03        |
|    value_loss           | 0.0288      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0538212   |
| time/                   |             |
|    fps                  | 1041        |
|    iterations           | 5           |
|    time_elapsed         | 314         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.008429445 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.1       |
|    explained_variance   | 0.791       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.248      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00609    |
|    std                  | 1.04        |
|    value_loss           | 0.0251      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1403884   |
| time/                   |             |
|    fps                  | 1044        |
|    iterations           | 6           |
|    time_elapsed         | 376         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.008300379 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.1       |
|    explained_variance   | 0.818       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.26       |
|    n_updates            | 75          |
|    policy_gradient_loss | -0.00532    |
|    std                  | 1.04        |
|    value_loss           | 0.0226      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1945338   |
| time/                   |             |
|    fps                  | 1041        |
|    iterations           | 7           |
|    time_elapsed         | 440         |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.008663779 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.2       |
|    explained_variance   | 0.837       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.258      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00561    |
|    std                  | 1.05        |
|    value_loss           | 0.0198      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2045366   |
| time/                   |             |
|    fps                  | 1035        |
|    iterations           | 8           |
|    time_elapsed         | 506         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.009160426 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.3       |
|    explained_variance   | 0.85        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.257      |
|    n_updates            | 105         |
|    policy_gradient_loss | -0.00477    |
|    std                  | 1.06        |
|    value_loss           | 0.0187      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3720224   |
| time/                   |             |
|    fps                  | 1028        |
|    iterations           | 9           |
|    time_elapsed         | 573         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.009175116 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.4       |
|    explained_variance   | 0.85        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.271      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00504    |
|    std                  | 1.07        |
|    value_loss           | 0.0173      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.3727424   |
| time/                   |             |
|    fps                  | 1028        |
|    iterations           | 10          |
|    time_elapsed         | 636         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.010084456 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.4       |
|    explained_variance   | 0.883       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.266      |
|    n_updates            | 135         |
|    policy_gradient_loss | -0.0058     |
|    std                  | 1.08        |
|    value_loss           | 0.0143      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5290259   |
| time/                   |             |
|    fps                  | 1028        |
|    iterations           | 11          |
|    time_elapsed         | 700         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.010027567 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.5       |
|    explained_variance   | 0.91        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.276      |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00497    |
|    std                  | 1.08        |
|    value_loss           | 0.0121      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.519157    |
| time/                   |             |
|    fps                  | 1025        |
|    iterations           | 12          |
