Logging to autocalc_pushing/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f38c16935d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f38bc741f10>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
|    ep_len_mean     | 251        |
|    ep_rew_mean     | 0.44771796 |
| time/              |            |
|    fps             | 1910       |
|    iterations      | 1          |
|    time_elapsed    | 2          |
|    total_timesteps | 4096       |
-----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.54302555  |
| time/                   |             |
|    fps                  | 1654        |
|    iterations           | 2           |
|    time_elapsed         | 4           |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.020774283 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.6       |
|    explained_variance   | 0.319       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.444      |
|    n_updates            | 1170        |
|    policy_gradient_loss | -0.0292     |
|    std                  | 2.67        |
|    value_loss           | 0.125       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.50937486  |
| time/                   |             |
|    fps                  | 1646        |
|    iterations           | 3           |
|    time_elapsed         | 7           |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.015857464 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.6       |
|    explained_variance   | 0.64        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.452      |
|    n_updates            | 1185        |
|    policy_gradient_loss | -0.0331     |
|    std                  | 2.69        |
|    value_loss           | 0.0826      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.71154886  |
| time/                   |             |
|    fps                  | 1560        |
|    iterations           | 4           |
|    time_elapsed         | 10          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.012181164 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.7       |
|    explained_variance   | 0.65        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.416      |
|    n_updates            | 1200        |
|    policy_gradient_loss | -0.0275     |
|    std                  | 2.7         |
|    value_loss           | 0.115       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 0.7426218   |
| time/                   |             |
|    fps                  | 1516        |
|    iterations           | 5           |
|    time_elapsed         | 13          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.013972141 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.7       |
|    explained_variance   | 0.686       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.458      |
|    n_updates            | 1215        |
