Logging to autocalc_pushing/autocalc_curriculum_1
/home/kpatherya3/anaconda3/envs/causal_env/lib/python3.7/site-packages/stable_baselines3/common/callbacks.py:337: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.vec_monitor.VecMonitor object at 0x7f38c16935d0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x7f38bc741f10>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
-----------------------------------
| rollout/           |            |
|    ep_rew_mean          | 1.2701111   |
| time/                   |             |
|    fps                  | 969         |
|    iterations           | 128         |
|    time_elapsed         | 541         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.009841122 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -27.7       |
|    explained_variance   | 0.761       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.554      |
|    n_updates            | 3060        |
|    policy_gradient_loss | -0.0282     |
|    std                  | 5.3         |
|    value_loss           | 0.107       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4649245   |
| time/                   |             |
|    fps                  | 966         |
|    iterations           | 129         |
|    time_elapsed         | 546         |
|    total_timesteps      | 528384      |
| train/                  |             |
|    approx_kl            | 0.016552413 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -27.8       |
|    explained_variance   | 0.717       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.523      |
|    n_updates            | 3075        |
|    policy_gradient_loss | -0.0234     |
|    std                  | 5.33        |
|    value_loss           | 0.143       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4157535   |
| time/                   |             |
|    fps                  | 964         |
|    iterations           | 130         |
|    time_elapsed         | 551         |
|    total_timesteps      | 532480      |
| train/                  |             |
|    approx_kl            | 0.019437797 |
|    clip_fraction        | 0.203       |
|    clip_range           | 0.2         |
|    entropy_loss         | -27.9       |
|    explained_variance   | 0.656       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.542      |
|    n_updates            | 3090        |
|    policy_gradient_loss | -0.0292     |
|    std                  | 5.38        |
|    value_loss           | 0.0996      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4954517   |
| time/                   |             |
|    fps                  | 963         |
|    iterations           | 131         |
|    time_elapsed         | 557         |
|    total_timesteps      | 536576      |
| train/                  |             |
|    approx_kl            | 0.013564767 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -27.9       |
|    explained_variance   | 0.723       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.565      |
|    n_updates            | 3105        |
|    policy_gradient_loss | -0.0287     |
|    std                  | 5.41        |
|    value_loss           | 0.0997      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.5366932  |
| time/                   |            |
|    fps                  | 959        |
|    iterations           | 132        |
|    time_elapsed         | 563        |
|    total_timesteps      | 540672     |
| train/                  |            |
|    approx_kl            | 0.01704504 |
|    clip_fraction        | 0.212      |
|    clip_range           | 0.2        |
|    entropy_loss         | -28        |
|    explained_variance   | 0.732      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.578     |
|    n_updates            | 3120       |
|    policy_gradient_loss | -0.0295    |
|    std                  | 5.43       |
|    value_loss           | 0.0904     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4742814   |
| time/                   |             |
|    fps                  | 957         |
|    iterations           | 133         |
|    time_elapsed         | 568         |
|    total_timesteps      | 544768      |
| train/                  |             |
|    approx_kl            | 0.014878927 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28         |
|    explained_variance   | 0.746       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.571      |
|    n_updates            | 3135        |
|    policy_gradient_loss | -0.0312     |
|    std                  | 5.47        |
|    value_loss           | 0.0947      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.473482    |
| time/                   |             |
|    fps                  | 956         |
|    iterations           | 134         |
|    time_elapsed         | 573         |
|    total_timesteps      | 548864      |
| train/                  |             |
|    approx_kl            | 0.012786293 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.1       |
|    explained_variance   | 0.764       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.56       |
|    n_updates            | 3150        |
|    policy_gradient_loss | -0.0299     |
|    std                  | 5.51        |
|    value_loss           | 0.101       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.4895909  |
| time/                   |            |
|    fps                  | 955        |
|    iterations           | 135        |
|    time_elapsed         | 578        |
|    total_timesteps      | 552960     |
| train/                  |            |
|    approx_kl            | 0.01351475 |
|    clip_fraction        | 0.185      |
|    clip_range           | 0.2        |
|    entropy_loss         | -28.1      |
|    explained_variance   | 0.835      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.575     |
|    n_updates            | 3165       |
|    policy_gradient_loss | -0.0316    |
|    std                  | 5.54       |
|    value_loss           | 0.0685     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5805695   |
| time/                   |             |
|    fps                  | 952         |
|    iterations           | 136         |
|    time_elapsed         | 585         |
|    total_timesteps      | 557056      |
| train/                  |             |
|    approx_kl            | 0.015824623 |
|    clip_fraction        | 0.202       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.2       |
|    explained_variance   | 0.836       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.584      |
|    n_updates            | 3180        |
|    policy_gradient_loss | -0.0318     |
|    std                  | 5.56        |
|    value_loss           | 0.0594      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.46369    |
| time/                   |            |
|    fps                  | 949        |
|    iterations           | 137        |
|    time_elapsed         | 591        |
|    total_timesteps      | 561152     |
| train/                  |            |
|    approx_kl            | 0.01767463 |
|    clip_fraction        | 0.179      |
|    clip_range           | 0.2        |
|    entropy_loss         | -28.2      |
|    explained_variance   | 0.777      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.568     |
|    n_updates            | 3195       |
|    policy_gradient_loss | -0.0313    |
|    std                  | 5.59       |
|    value_loss           | 0.0869     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4834193   |
| time/                   |             |
|    fps                  | 948         |
|    iterations           | 138         |
|    time_elapsed         | 595         |
|    total_timesteps      | 565248      |
| train/                  |             |
|    approx_kl            | 0.014391622 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.3       |
|    explained_variance   | 0.701       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.567      |
|    n_updates            | 3210        |
|    policy_gradient_loss | -0.0325     |
|    std                  | 5.63        |
|    value_loss           | 0.107       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4869919   |
| time/                   |             |
|    fps                  | 946         |
|    iterations           | 139         |
|    time_elapsed         | 601         |
|    total_timesteps      | 569344      |
| train/                  |             |
|    approx_kl            | 0.017238356 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.3       |
|    explained_variance   | 0.815       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.587      |
|    n_updates            | 3225        |
|    policy_gradient_loss | -0.0326     |
|    std                  | 5.67        |
|    value_loss           | 0.0739      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6073675   |
| time/                   |             |
|    fps                  | 943         |
|    iterations           | 140         |
|    time_elapsed         | 607         |
|    total_timesteps      | 573440      |
| train/                  |             |
|    approx_kl            | 0.019849727 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.4       |
|    explained_variance   | 0.77        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.57       |
|    n_updates            | 3240        |
|    policy_gradient_loss | -0.028      |
|    std                  | 5.7         |
|    value_loss           | 0.097       |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 251       |
|    ep_rew_mean          | 1.3685777 |
| time/                   |           |
|    fps                  | 942       |
|    iterations           | 141       |
|    time_elapsed         | 612       |
|    total_timesteps      | 577536    |
| train/                  |           |
|    approx_kl            | 0.0128269 |
|    clip_fraction        | 0.138     |
|    clip_range           | 0.2       |
|    entropy_loss         | -28.4     |
|    explained_variance   | 0.699     |
|    learning_rate        | 0.00025   |
|    loss                 | -0.569    |
|    n_updates            | 3255      |
|    policy_gradient_loss | -0.0314   |
|    std                  | 5.72      |
|    value_loss           | 0.106     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2916074   |
| time/                   |             |
|    fps                  | 941         |
|    iterations           | 142         |
|    time_elapsed         | 617         |
|    total_timesteps      | 581632      |
| train/                  |             |
|    approx_kl            | 0.015984382 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.5       |
|    explained_variance   | 0.74        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.543      |
|    n_updates            | 3270        |
|    policy_gradient_loss | -0.0284     |
|    std                  | 5.73        |
|    value_loss           | 0.106       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.342034    |
| time/                   |             |
|    fps                  | 938         |
|    iterations           | 143         |
|    time_elapsed         | 624         |
|    total_timesteps      | 585728      |
| train/                  |             |
|    approx_kl            | 0.017230839 |
|    clip_fraction        | 0.183       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.5       |
|    explained_variance   | 0.804       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.584      |
|    n_updates            | 3285        |
|    policy_gradient_loss | -0.0287     |
|    std                  | 5.77        |
|    value_loss           | 0.0775      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.1468502  |
| time/                   |            |
|    fps                  | 937        |
|    iterations           | 144        |
|    time_elapsed         | 629        |
|    total_timesteps      | 589824     |
| train/                  |            |
|    approx_kl            | 0.01440057 |
|    clip_fraction        | 0.177      |
|    clip_range           | 0.2        |
|    entropy_loss         | -28.6      |
|    explained_variance   | 0.56       |
|    learning_rate        | 0.00025    |
|    loss                 | -0.547     |
|    n_updates            | 3300       |
|    policy_gradient_loss | -0.0241    |
|    std                  | 5.82       |
|    value_loss           | 0.165      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.0941288   |
| time/                   |             |
|    fps                  | 936         |
|    iterations           | 145         |
|    time_elapsed         | 634         |
|    total_timesteps      | 593920      |
| train/                  |             |
|    approx_kl            | 0.017871007 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.6       |
|    explained_variance   | 0.799       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.596      |
|    n_updates            | 3315        |
|    policy_gradient_loss | -0.0306     |
|    std                  | 5.86        |
|    value_loss           | 0.0712      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.1547232  |
| time/                   |            |
|    fps                  | 934        |
|    iterations           | 146        |
|    time_elapsed         | 640        |
|    total_timesteps      | 598016     |
| train/                  |            |
|    approx_kl            | 0.01337953 |
|    clip_fraction        | 0.17       |
|    clip_range           | 0.2        |
|    entropy_loss         | -28.7      |
|    explained_variance   | 0.797      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.587     |
|    n_updates            | 3330       |
|    policy_gradient_loss | -0.0303    |
|    std                  | 5.89       |
|    value_loss           | 0.0909     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.1875587    |
| time/                   |              |
|    fps                  | 932          |
|    iterations           | 147          |
|    time_elapsed         | 645          |
|    total_timesteps      | 602112       |
| train/                  |              |
|    approx_kl            | 0.0130726155 |
|    clip_fraction        | 0.167        |
|    clip_range           | 0.2          |
|    entropy_loss         | -28.7        |
|    explained_variance   | 0.683        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.55        |
|    n_updates            | 3345         |
|    policy_gradient_loss | -0.0222      |
|    std                  | 5.93         |
|    value_loss           | 0.186        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.1384423   |
| time/                   |             |
|    fps                  | 932         |
|    iterations           | 148         |
|    time_elapsed         | 650         |
|    total_timesteps      | 606208      |
| train/                  |             |
|    approx_kl            | 0.014648328 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.8       |
|    explained_variance   | 0.698       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.56       |
|    n_updates            | 3360        |
|    policy_gradient_loss | -0.0248     |
|    std                  | 5.97        |
|    value_loss           | 0.186       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.23235     |
| time/                   |             |
|    fps                  | 929         |
|    iterations           | 149         |
|    time_elapsed         | 656         |
|    total_timesteps      | 610304      |
| train/                  |             |
|    approx_kl            | 0.018593933 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.9       |
|    explained_variance   | 0.815       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.583      |
|    n_updates            | 3375        |
|    policy_gradient_loss | -0.0262     |
|    std                  | 6.01        |
|    value_loss           | 0.101       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 251          |
|    ep_rew_mean          | 1.4378233    |
| time/                   |              |
|    fps                  | 927          |
|    iterations           | 150          |
|    time_elapsed         | 662          |
|    total_timesteps      | 614400       |
| train/                  |              |
|    approx_kl            | 0.0137205515 |
|    clip_fraction        | 0.205        |
|    clip_range           | 0.2          |
|    entropy_loss         | -28.9        |
|    explained_variance   | 0.768        |
|    learning_rate        | 0.00025      |
|    loss                 | -0.581       |
|    n_updates            | 3390         |
|    policy_gradient_loss | -0.029       |
|    std                  | 6.01         |
|    value_loss           | 0.108        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5383152   |
| time/                   |             |
|    fps                  | 926         |
|    iterations           | 151         |
|    time_elapsed         | 667         |
|    total_timesteps      | 618496      |
| train/                  |             |
|    approx_kl            | 0.019830506 |
|    clip_fraction        | 0.183       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.9       |
|    explained_variance   | 0.798       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.582      |
|    n_updates            | 3405        |
|    policy_gradient_loss | -0.0254     |
|    std                  | 6.04        |
|    value_loss           | 0.0918      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6453305   |
| time/                   |             |
|    fps                  | 925         |
|    iterations           | 152         |
|    time_elapsed         | 672         |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.011384688 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -28.9       |
|    explained_variance   | 0.655       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.532      |
|    n_updates            | 3420        |
|    policy_gradient_loss | -0.0267     |
|    std                  | 6.06        |
|    value_loss           | 0.183       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6333456   |
| time/                   |             |
|    fps                  | 923         |
|    iterations           | 153         |
|    time_elapsed         | 678         |
|    total_timesteps      | 626688      |
| train/                  |             |
|    approx_kl            | 0.017786892 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29         |
|    explained_variance   | 0.724       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.595      |
|    n_updates            | 3435        |
|    policy_gradient_loss | -0.0305     |
|    std                  | 6.08        |
|    value_loss           | 0.112       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6144944   |
| time/                   |             |
|    fps                  | 921         |
|    iterations           | 154         |
|    time_elapsed         | 684         |
|    total_timesteps      | 630784      |
| train/                  |             |
|    approx_kl            | 0.017575623 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29         |
|    explained_variance   | 0.751       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.573      |
|    n_updates            | 3450        |
|    policy_gradient_loss | -0.029      |
|    std                  | 6.11        |
|    value_loss           | 0.096       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6441013   |
| time/                   |             |
|    fps                  | 921         |
|    iterations           | 155         |
|    time_elapsed         | 689         |
|    total_timesteps      | 634880      |
| train/                  |             |
|    approx_kl            | 0.010240277 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29         |
|    explained_variance   | 0.758       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.564      |
|    n_updates            | 3465        |
|    policy_gradient_loss | -0.0267     |
|    std                  | 6.12        |
|    value_loss           | 0.133       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6331651   |
| time/                   |             |
|    fps                  | 919         |
|    iterations           | 156         |
|    time_elapsed         | 694         |
|    total_timesteps      | 638976      |
| train/                  |             |
|    approx_kl            | 0.014549822 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.1       |
|    explained_variance   | 0.712       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.541      |
|    n_updates            | 3480        |
|    policy_gradient_loss | -0.0231     |
|    std                  | 6.17        |
|    value_loss           | 0.153       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.6725267   |
| time/                   |             |
|    fps                  | 916         |
|    iterations           | 157         |
|    time_elapsed         | 701         |
|    total_timesteps      | 643072      |
| train/                  |             |
|    approx_kl            | 0.014884769 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.1       |
|    explained_variance   | 0.642       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.569      |
|    n_updates            | 3495        |
|    policy_gradient_loss | -0.0293     |
|    std                  | 6.2         |
|    value_loss           | 0.128       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.7399945   |
| time/                   |             |
|    fps                  | 914         |
|    iterations           | 158         |
|    time_elapsed         | 707         |
|    total_timesteps      | 647168      |
| train/                  |             |
|    approx_kl            | 0.014716918 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.2       |
|    explained_variance   | 0.773       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.601      |
|    n_updates            | 3510        |
|    policy_gradient_loss | -0.0281     |
|    std                  | 6.23        |
|    value_loss           | 0.0966      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.7080705  |
| time/                   |            |
|    fps                  | 913        |
|    iterations           | 159        |
|    time_elapsed         | 712        |
|    total_timesteps      | 651264     |
| train/                  |            |
|    approx_kl            | 0.01844621 |
|    clip_fraction        | 0.193      |
|    clip_range           | 0.2        |
|    entropy_loss         | -29.2      |
|    explained_variance   | 0.787      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.578     |
|    n_updates            | 3525       |
|    policy_gradient_loss | -0.0327    |
|    std                  | 6.24       |
|    value_loss           | 0.109      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.763006    |
| time/                   |             |
|    fps                  | 912         |
|    iterations           | 160         |
|    time_elapsed         | 718         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.019542834 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.3       |
|    explained_variance   | 0.529       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.469      |
|    n_updates            | 3540        |
|    policy_gradient_loss | -0.0222     |
|    std                  | 6.3         |
|    value_loss           | 0.298       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.6454967  |
| time/                   |            |
|    fps                  | 910        |
|    iterations           | 161        |
|    time_elapsed         | 724        |
|    total_timesteps      | 659456     |
| train/                  |            |
|    approx_kl            | 0.01776951 |
|    clip_fraction        | 0.193      |
|    clip_range           | 0.2        |
|    entropy_loss         | -29.3      |
|    explained_variance   | 0.722      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.581     |
|    n_updates            | 3555       |
|    policy_gradient_loss | -0.0309    |
|    std                  | 6.34       |
|    value_loss           | 0.104      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5790917   |
| time/                   |             |
|    fps                  | 908         |
|    iterations           | 162         |
|    time_elapsed         | 730         |
|    total_timesteps      | 663552      |
| train/                  |             |
|    approx_kl            | 0.016211148 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.4       |
|    explained_variance   | 0.739       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.575      |
|    n_updates            | 3570        |
|    policy_gradient_loss | -0.0255     |
|    std                  | 6.39        |
|    value_loss           | 0.106       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.4868916   |
| time/                   |             |
|    fps                  | 908         |
|    iterations           | 163         |
|    time_elapsed         | 734         |
|    total_timesteps      | 667648      |
| train/                  |             |
|    approx_kl            | 0.015172767 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.4       |
|    explained_variance   | 0.69        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.594      |
|    n_updates            | 3585        |
|    policy_gradient_loss | -0.0301     |
|    std                  | 6.41        |
|    value_loss           | 0.126       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.2512069   |
| time/                   |             |
|    fps                  | 907         |
|    iterations           | 164         |
|    time_elapsed         | 740         |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.015590702 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.5       |
|    explained_variance   | 0.654       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.593      |
|    n_updates            | 3600        |
|    policy_gradient_loss | -0.0306     |
|    std                  | 6.45        |
|    value_loss           | 0.163       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.5095689  |
| time/                   |            |
|    fps                  | 905        |
|    iterations           | 165        |
|    time_elapsed         | 746        |
|    total_timesteps      | 675840     |
| train/                  |            |
|    approx_kl            | 0.01623311 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.2        |
|    entropy_loss         | -29.6      |
|    explained_variance   | 0.757      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.588     |
|    n_updates            | 3615       |
|    policy_gradient_loss | -0.0257    |
|    std                  | 6.5        |
|    value_loss           | 0.173      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5729445   |
| time/                   |             |
|    fps                  | 904         |
|    iterations           | 166         |
|    time_elapsed         | 751         |
|    total_timesteps      | 679936      |
| train/                  |             |
|    approx_kl            | 0.015390085 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.6       |
|    explained_variance   | 0.65        |
|    learning_rate        | 0.00025     |
|    loss                 | -0.567      |
|    n_updates            | 3630        |
|    policy_gradient_loss | -0.0301     |
|    std                  | 6.53        |
|    value_loss           | 0.12        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5654553   |
| time/                   |             |
|    fps                  | 903         |
|    iterations           | 167         |
|    time_elapsed         | 756         |
|    total_timesteps      | 684032      |
| train/                  |             |
|    approx_kl            | 0.013827467 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.7       |
|    explained_variance   | 0.654       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.586      |
|    n_updates            | 3645        |
|    policy_gradient_loss | -0.0256     |
|    std                  | 6.56        |
|    value_loss           | 0.153       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5739577   |
| time/                   |             |
|    fps                  | 901         |
|    iterations           | 168         |
|    time_elapsed         | 763         |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.015894838 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.7       |
|    explained_variance   | 0.805       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.608      |
|    n_updates            | 3660        |
|    policy_gradient_loss | -0.0295     |
|    std                  | 6.6         |
|    value_loss           | 0.0892      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 251        |
|    ep_rew_mean          | 1.4810991  |
| time/                   |            |
|    fps                  | 900        |
|    iterations           | 169        |
|    time_elapsed         | 769        |
|    total_timesteps      | 692224     |
| train/                  |            |
|    approx_kl            | 0.01364609 |
|    clip_fraction        | 0.153      |
|    clip_range           | 0.2        |
|    entropy_loss         | -29.7      |
|    explained_variance   | 0.634      |
|    learning_rate        | 0.00025    |
|    loss                 | -0.575     |
|    n_updates            | 3675       |
|    policy_gradient_loss | -0.0192    |
|    std                  | 6.62       |
|    value_loss           | 0.157      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5460063   |
| time/                   |             |
|    fps                  | 899         |
|    iterations           | 170         |
|    time_elapsed         | 773         |
|    total_timesteps      | 696320      |
| train/                  |             |
|    approx_kl            | 0.014470794 |
|    clip_fraction        | 0.195       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.8       |
|    explained_variance   | 0.761       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.616      |
|    n_updates            | 3690        |
|    policy_gradient_loss | -0.0322     |
|    std                  | 6.65        |
|    value_loss           | 0.102       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 251         |
|    ep_rew_mean          | 1.5005008   |
| time/                   |             |
|    fps                  | 898         |
|    iterations           | 171         |
|    time_elapsed         | 779         |
|    total_timesteps      | 700416      |
| train/                  |             |
|    approx_kl            | 0.012653021 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -29.8       |
|    explained_variance   | 0.701       |
|    learning_rate        | 0.00025     |
|    loss                 | -0.599      |
|    n_updates            | 3705        |
|    policy_gradient_loss | -0.0262     |
|    std                  | 6.69        |
|    value_loss           | 0.115       |
